ProjectNo.,Silh_c=2,Silh_c=3,Silh_c=4,Silh_c=5,Silh_c=6,Silh_c=7,Silh_c=8,Silh_c=9,Silh_c=10,DB_c=2,DB_c=3,DB_c=4,DB_c=5,DB_c=6,DB_c=7,DB_c=8,DB_c=9,DB_c=10
1,0.6516674476594442,0.6368279143679735,0.5433628307144965,0.5700308656418853,0.45207669040257326,0.4212904916043928,0.43838201169908375,0.4204415751376226,0.413991007877506,0.779131328023455,0.5015854617466478,0.5912338869616212,0.5458113125301289,0.627557609529924,0.7199466001646344,0.7039815620010138,0.7203291361704137,0.7689980580728843
2,0.664855685984394,0.6233013506472619,0.552985641190182,0.446950083341173,0.47844409535170773,0.4267118273762652,0.43651718080381696,0.40078750139470926,0.43749432555468254,0.7832668363922285,0.8050751445107399,0.888580156531217,0.9348089131854872,0.6891958115473971,0.8285038573278728,0.9490034065487114,0.98025296342695,0.7574727800095322
3,0.7177380419002548,0.703913574598902,0.6565757988288212,0.5718175583101159,0.5496224919723304,0.47184559253541575,0.46629540852408324,0.434975667719844,0.4384286707546584,0.7995624875281429,0.6958651251577815,0.7273562357297735,0.778124080486615,0.8675078358408516,0.8845399337587887,0.8372456359354197,0.9425150393417115,0.8145815124892412
4,0.7272802928401979,0.6630489046758458,0.5877794625614358,0.5871709040552312,0.5049738550440724,0.4643177686940042,0.4546723729325257,0.44823065246961746,0.4467225351014668,0.7813693458511879,0.8868658320591214,0.934447646070826,0.7526985264622136,0.8121767555233226,0.849318184060216,0.8255581914649689,0.8359520461576999,0.8531409589198793
5,0.7685770023223989,0.70975980761135,0.574240204601947,0.5666452985430539,0.528927592611694,0.4675893649624801,0.43189086231906404,0.4331728840899863,0.4347776804905349,0.7426508372957767,0.7943600919521753,0.8212118066499872,0.6942922551345995,0.7898693937412807,0.9427155150360708,0.9689212805498104,0.9859679956692227,0.9669469139190088
6,0.79729558781101,0.7460208137793223,0.5240906487224513,0.5347898095188532,0.4999418602633826,0.4848588939356035,0.5205562661330504,0.5221100917960763,0.4497265044541361,0.6780475281282407,0.6956497266679911,0.8015297583734853,0.7259105586742066,0.8030435800399626,0.9108882696309835,0.8921618875426883,0.8385882114907045,0.9108040092838913
7,0.8901257457336678,0.6676325921332986,0.6516715731129336,0.6037898296011898,0.5545324327356329,0.5369547592526718,0.5122152374265976,0.5005683903115156,0.4582102230289266,0.23305297128309024,0.4297547799187203,0.4200166880302151,0.41550109033573024,0.4188946667793286,0.4533157633491867,0.38710317896970514,0.31465774051523987,0.36567440476929597
8,0.8925440565595554,0.6647558153253468,0.6338761244564654,0.5361165788871471,0.44497790548370414,0.44532674755316204,0.41643137205252095,0.4195887479508797,0.4148436306051426,0.5161335263719341,0.7226431858145744,0.5754062436139391,0.6473826287947069,0.74962359684078,0.7024024305738295,0.6957829025918734,0.7116789550710441,0.7070883431181528
9,0.898482034029982,0.6420604311711097,0.6319450857465899,0.5424703516676571,0.5424615688632815,0.4811550308009174,0.4831296816112037,0.4142551043928386,0.4047425071403148,0.6128137298537629,0.7484622373276574,0.5800026005453869,0.7138503556173544,0.6863568819243314,0.7073277139684212,0.7235997997816734,0.8051527023832649,0.8526817787341672
10,0.9755940525588971,0.7610602861945557,0.6363809552116623,0.5721757381272493,0.5385107395380075,0.4934777319452529,0.49369844896414067,0.4817351399189431,0.435552457915381,0.22413696600007083,0.6298710109114142,0.604908355960854,0.7507590882558848,0.7171546939353067,0.7636804899810479,0.6886142269962485,0.7408372965118825,0.7769899159264988
11,0.9784009269723579,0.8467903065328536,0.671725834438309,0.6111867806615111,0.5984711410178507,0.5532864431998469,0.4963641900590399,0.46772967473702715,0.4608153389958677,0.3577449315969209,0.4894665010107433,0.5936972300376633,0.6528665699917662,0.5530849669650836,0.7421490348648562,0.7681495617954317,0.7872452351161223,0.8009171745444202
12,0.7550380733368279,0.5412055151391975,0.46915543498880535,0.4508159301150328,0.4206225369285065,0.4088967103503708,0.4206316991048072,0.43899496854465786,0.4340756498280323,0.5623288863461907,0.7142403260308013,0.7453652058813445,0.8232286509145206,0.7449393922433707,0.7292724023164346,0.6864831058015342,0.7005595664123719,0.7547304875811635
13,0.8990804856635298,0.5933577310137438,0.5425620685703255,0.5165603950664542,0.4874229045824174,0.41522931261805696,0.41173521805810054,0.35980034282204393,0.39126489211843923,0.04644706024208171,0.458581394488403,0.4644157177468451,0.4589176946067436,0.35053484754517855,0.4450458970866749,0.5487559180794295,0.34118731799451396,0.38396226657468896
14,0.9082035865501337,0.829310387206534,0.6687736318026871,0.5022491576901638,0.4997848303194085,0.5080842512174314,0.4506340441369889,0.4345597502805524,0.43067532851229495,0.3807930903131295,0.357773033071509,0.47588883401107585,0.5677716735301617,0.42990060782804257,0.49346798796832025,0.5597516365986078,0.6112394692086365,0.5577604482133707
15,0.9795311286284026,0.7597035968817428,0.7523935214273172,0.681949564686831,0.5488395233606579,0.5548840492742362,0.559903160009081,0.5129678853262122,0.4619705554742261,0.011942063826642643,0.5173532802634725,0.3488287795138009,0.5578516801185867,0.6532691653234033,0.5750868577099871,0.4427520220532007,0.5771714954803571,0.6637206433489854
16,0.8949806293348189,0.7616980173381855,0.7461894303643216,0.6598147671570223,0.5575018745628683,0.5572853413330172,0.545803864339435,0.5003678565174456,0.5023364669920938,0.6938031709142559,0.5360153169815368,0.4812749364005464,0.6584039932393011,0.7222269388119494,0.6520278552113038,0.697228586098278,0.7501172853872596,0.6742099066208173
17,0.9444746066482733,0.7953505657456501,0.7966200603437524,0.6399020541253306,0.5640608090662593,0.5597573194737872,0.501583739541653,0.5108755363393319,0.47748188371576983,0.6901200905390316,0.8058609048567401,0.481757195306817,0.603702484829846,0.6957248253729705,0.5978788171930427,0.6257532952427411,0.7143841823168017,0.7276252117670343
18,0.9495910264532248,0.8082177962472359,0.7919419543159648,0.7923379607090799,0.6440294364079097,0.5905888199227165,0.5170659527849993,0.5198418812372105,0.5122561978598097,0.6988256780279443,0.8385131356331076,0.8244882086765759,0.40634600011292665,0.5083022041250993,0.6258173967368886,0.7396680771122015,0.8366897236218426,0.8143543589257222
19,0.94823998397362,0.7896776085294755,0.7896280665745243,0.6556043553245867,0.5977547234044845,0.5893501461583924,0.5223911884146777,0.5272491577167508,0.4826567669072821,0.6593405777520063,0.7518702352343635,0.8557503542827412,0.5899541964470572,0.7125560515626326,0.5774886201063401,0.609594596831814,0.4905595837563206,0.8324627843465763
